Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
d.u	d.ɪ.d	80717	do	did	irreg
s.eɪ	s.ɛ.d	76541	say	said	irreg
g.oʊ	w.ɛ.n.t	51830	go	went	irreg
g.ɛ.t	g.ɑ.t	42717	get	got	irreg
n.oʊ	n.u	38013	know	knew	irreg
s.i	s.ɔ	36958	see	saw	irreg
θ.ɪ.ŋ.k	θ.ɔ.t	35874	think	thought	irreg
k.ʌ.m	k.eɪ.m	35152	come	came	irreg
t.eɪ.k	t.ʊ.k	34323	take	took	irreg
l.ʊ.k	l.ʊ.k.t	24165	look	looked	reg
g.ɪ.v	g.eɪ.v	22921	give	gave	irreg
w.ɑ.n.t	w.ɔ.n.t.ɪ.d	20077	want	wanted	reg
f.aɪ.n.d	f.aʊ.n.d	19525	find	found	irreg
t.ɛ.l	t.oʊ.l.d	19040	tell	told	irreg
s.i.m	s.i.m.d	15911	seem	seemed	reg
f.i.l	f.ɛ.l.t	15489	feel	felt	irreg
b.ɪ.k.ʌ.m	b.ɪ.k.eɪ.m	14957	become	became	irreg
æ.s.k	æ.s.k.t	14651	ask	asked	reg
j.u.s	j.u.z.d	14307	use	used	reg
l.i.v	l.ɛ.f.t	14042	leave	left	irreg
t.ɹ.aɪ	t.ɹ.aɪ.d	13237	try	tried	reg
m.i.n	m.ɛ.n.t	13126	mean	meant	irreg
k.ɔ.l	k.ɔ.l.d	12429	call	called	reg
b.ɪ.g.ɪ.n	b.ɪ.g.æ.n	12254	begin	began	irreg
k.i.p	k.ɛ.p.t	11794	keep	kept	irreg
t.ɚ.n	t.ɚ.n.d	10372	turn	turned	reg
n.i.d	n.i.d.ʌ.d	9955	need	needed	reg
w.ɚ.k	w.ɚ.k.t	9925	work	worked	reg
l.aɪ.v	l.ɪ.v.d	9371	live	lived	reg
b.ɹ.ɪ.ŋ	b.ɹ.ɔ.t	9176	bring	brought	irreg
t.ɔ.k	t.ɔ.k.t	9141	talk	talked	reg
h.i.ɹ	h.ɚ.d	9053	hear	heard	irreg
s.ɪ.t	s.æ.t	8969	sit	sat	irreg
ʃ.oʊ	ʃ.oʊ.d	8395	show	showed	reg
s.t.æ.n.d	s.t.ʊ.d	8376	stand	stood	irreg
h.oʊ.l.d	h.ɛ.l.d	8324	hold	held	irreg
ɹ.aɪ.t	ɹ.oʊ.t	8317	write	wrote	irreg
tʃ.eɪ.n.dʒ	tʃ.eɪ.n.dʒ.d	8239	change	changed	reg
s.t.ɑ.ɹ.t	s.t.ɑ.ɹ.t.ʌ.d	8092	start	started	reg
ɹ.ʌ.n	ɹ.æ.n	7903	run	ran	irreg
h.æ.p.ʌ.n	h.æ.p.ʌ.n.d	7838	happen	happened	reg
m.u.v	m.u.v.d	7653	move	moved	reg
