Present_Transcription	Past_Transcription
d.u	d.ɪ.d
s.eɪ	s.ɛ.d
g.oʊ	w.ɛ.n.t
g.ɛ.t	g.ɑ.t
n.oʊ	n.u
s.i	s.ɔ
θ.ɪ.ŋ.k	θ.ɔ.t
k.ʌ.m	k.eɪ.m
t.eɪ.k	t.ʊ.k
l.ʊ.k	l.ʊ.k.t
g.ɪ.v	g.eɪ.v
w.ɑ.n.t	w.ɔ.n.t.ɪ.d
f.aɪ.n.d	f.aʊ.n.d
t.ɛ.l	t.oʊ.l.d
s.i.m	s.i.m.d
f.i.l	f.ɛ.l.t
b.ɪ.k.ʌ.m	b.ɪ.k.eɪ.m
æ.s.k	æ.s.k.t
j.u.s	j.u.z.d
l.i.v	l.ɛ.f.t
t.ɹ.aɪ	t.ɹ.aɪ.d
m.i.n	m.ɛ.n.t
k.ɔ.l	k.ɔ.l.d
b.ɪ.g.ɪ.n	b.ɪ.g.æ.n
k.i.p	k.ɛ.p.t
t.ɚ.n	t.ɚ.n.d
n.i.d	n.i.d.ʌ.d
w.ɚ.k	w.ɚ.k.t
l.aɪ.v	l.ɪ.v.d
b.ɹ.ɪ.ŋ	b.ɹ.ɔ.t
t.ɔ.k	t.ɔ.k.t
h.i.ɹ	h.ɚ.d
s.ɪ.t	s.æ.t
ʃ.oʊ	ʃ.oʊ.d
s.t.æ.n.d	s.t.ʊ.d
h.oʊ.l.d	h.ɛ.l.d
ɹ.aɪ.t	ɹ.oʊ.t
tʃ.eɪ.n.dʒ	tʃ.eɪ.n.dʒ.d
s.t.ɑ.ɹ.t	s.t.ɑ.ɹ.t.ʌ.d
ɹ.ʌ.n	ɹ.æ.n
h.æ.p.ʌ.n	h.æ.p.ʌ.n.d
m.u.v	m.u.v.d
b.ɪ.l.i.v	b.ɪ.l.i.v.d
p.l.eɪ	p.l.eɪ.d
h.ɛ.l.p	h.ɛ.l.p.t
s.p.i.k	s.p.oʊ.k
ɹ.ɪ.m.ɛ.m.b.ɚ	ɹ.ɪ.m.ɛ.m.b.ɚ.d
p.eɪ	p.eɪ.d
g.ɹ.oʊ	g.ɹ.u
l.u.z	l.ɔ.s.t
s.t.ɑ.p	s.t.ɑ.p.t
l.aɪ.k	l.aɪ.k.t
w.eɪ.t	w.eɪ.t.ɪ.d
k.æ.ɹ.i	k.æ.ɹ.i.d
w.ɔ.k	w.ɔ.k.t
l.ɚ.n	l.ɚ.n.d
l.ɚ.n	l.ɚ.n.t
l.aɪ	l.eɪ
f.ɑ.l.oʊ	f.ɑ.l.oʊ.d
l.ɛ.d	l.ɛ.d
f.ɔ.l	f.ɛ.l
ʌ.p.ɪ.ɹ	ʌ.p.ɪ.ɹ.d
ʌ.n.d.ɚ.s.t.æ.n.d	ʌ.n.d.ɚ.s.t.ʊ.d
i.t	eɪ.t
ɪ.k.s.p.ɛ.k.t	ɪ.k.s.p.ɛ.k.t.ʌ.d
s.p.ɛ.n.d	s.p.ɛ.n.t
s.ɛ.n.d	s.ɛ.n.t
ʌ.l.aʊ	ʌ.l.aʊ.d
k.ʌ.n.t.ɪ.n.j.u	k.ʌ.n.t.ɪ.n.j.u.d
ɹ.ɪ.m.eɪ.n	ɹ.ɪ.m.eɪ.n.d
p.æ.s	p.æ.s.t
p.ɹ.ʌ.v.aɪ.d	p.ɹ.ʌ.v.aɪ.d.ʌ.d
b.aɪ	b.ɑ.t
ɹ.i.tʃ	ɹ.i.tʃ.t
d.ɪ.v.ɛ.l.ʌ.p	d.ɪ.v.ɛ.l.ʌ.p.t
s.t.eɪ	s.t.eɪ.d
w.ɑ.tʃ	w.ɑ.tʃ.t
d.ɪ.s.aɪ.d	d.ɪ.s.aɪ.d.ɪ.d
p.ɹ.ʌ.d.u.s	p.ɹ.ʌ.d.u.s.t
w.ɛ.ɹ	w.ɔ.ɹ
b.ɪ.l.d	b.ɪ.l.t
d.aɪ	d.aɪ.d
l.ʌ.v	l.ʌ.v.d
æ.d	æ.d.ɪ.d
m.i.t	m.ɛ.t
ɪ.n.k.ɹ.i.s	ɪ.n.k.ɹ.i.s.t
oʊ.p.ʌ.n	oʊ.p.ʌ.n.d
s.ʌ.dʒ.ɛ.s.t	s.ʌ.dʒ.ɛ.s.t.ʌ.d
b.ɹ.eɪ.k	b.ɹ.oʊ.k
h.oʊ.p	h.oʊ.p.t
s.ʌ.p.oʊ.z	s.ʌ.p.oʊ.z.d
ɹ.ɪ.t.ɚ.n	ɹ.ɪ.t.ɚ.n.d
d.ɹ.aɪ.v	d.ɹ.oʊ.v
d.ɹ.ɔ	d.ɹ.u
ɪ.n.v.ɑ.l.v	ɪ.n.v.ɑ.l.v.d
k.ɪ.l	k.ɪ.l.d
k.ʌ.n.s.ɪ.d.ɚ	k.ʌ.n.s.ɪ.d.ɚ.d
æ.k.s.ɛ.p.t	æ.k.s.ɛ.p.t.ɪ.d
ɔ.f.ɚ	ɔ.f.ɚ.d
ɹ.i.ʌ.l.aɪ.z	ɹ.i.ʌ.l.aɪ.z.d
ɪ.k.s.p.l.eɪ.n	ɪ.k.s.p.l.eɪ.n.d
ɹ.aɪ.z	ɹ.oʊ.z
k.æ.tʃ	k.ɑ.t
ʌ.g.ɹ.i	ʌ.g.ɹ.i.d
ɹ.i.k.w.aɪ.ɚ	ɹ.i.k.w.aɪ.ɚ.d
p.ɪ.k	p.ɪ.k.t
w.ɪ.ʃ	w.ɪ.ʃ.t
p.ʊ.l	p.ʊ.l.d
k.ʌ.v.ɚ	k.ʌ.v.ɚ.d
tʃ.u.z	tʃ.oʊ.z
l.ɪ.s.ʌ.n	l.ɪ.s.ʌ.n.d
ɹ.eɪ.z	ɹ.eɪ.z.d
w.ʌ.n.d.ɚ	w.ʌ.n.d.ɚ.d
k.ɑ.z	k.ɑ.z.d
ɚ.aɪ.v	ɚ.aɪ.v.d
l.æ.f	l.æ.f.t
f.ɚ.g.ɛ.t	f.ɚ.g.ɑ.t
æ.n.s.ɚ	æ.n.s.ɚ.d
p.l.æ.n	p.l.æ.n.d
d.ɪ.s.k.ɹ.aɪ.b	d.ɪ.s.k.ɹ.aɪ.b.d
s.m.aɪ.l	s.m.aɪ.l.d
k.ɹ.i.eɪ.t	k.ɹ.i.eɪ.t.ʌ.d
θ.ɹ.oʊ	θ.ɹ.u
ɹ.ʌ.s.i.v	ɹ.ʌ.s.i.v.d
w.ɪ.n	w.ʌ.n
p.ɹ.u.v	p.ɹ.u.v.d
s.ɚ.v	s.ɚ.v.d
ɛ.n.dʒ.ɔɪ	ɛ.n.dʒ.ɔɪ.d
f.eɪ.l	f.eɪ.l.d
s.ɛ.l	s.oʊ.l.d
dʒ.ɔɪ.n	dʒ.ɔɪ.n.d
t.i.tʃ	t.ɔ.t
d.ɹ.ɑ.p	d.ɹ.ɑ.p.t
f.aɪ.t	f.ɔ.t
f.ɔ.ɹ.s	f.ɔ.ɹ.s.t
ɛ.n.d	ɛ.n.d.ʌ.d
d.ɪ.s.k.ʌ.v.ɚ	d.ɪ.s.k.ʌ.v.ɚ.d
ɹ.ɛ.k.ʌ.g.n.aɪ.z	ɹ.ɛ.k.ʌ.g.n.aɪ.z.d
f.ɪ.l	f.ɪ.l.d
f.eɪ.s	f.eɪ.s.t
f.i.d	f.ɛ.d
ɪ.g.z.ɪ.s.t	ɪ.g.z.ɪ.s.t.ʌ.d
p.ɔɪ.n.t	p.ɔɪ.n.t.ɪ.d
ʃ.eɪ.k	ʃ.ʊ.k
t.ɛ.n.d	t.ɛ.n.d.ʌ.d
n.oʊ.t.ʌ.s	n.oʊ.t.ɪ.s.t
d.ɹ.ɪ.ŋ.k	d.ɹ.æ.ŋ.k
ɛ.n.t.ɚ	ɛ.n.t.ɚ.d
d.ɪ.s.k.ʌ.s	d.ɪ.s.k.ʌ.s.t
s.l.i.p	s.l.ɛ.p.t
m.æ.n.ʌ.dʒ	m.æ.n.ʌ.dʒ.d
h.æ.ŋ	h.ʌ.ŋ
ɪ.n.k.l.u.d	ɪ.n.k.l.u.d.ʌ.d
f.ɔ.ɹ.m	f.ɔ.ɹ.m.d
f.ɪ.n.ɪ.ʃ	f.ɪ.n.ɪ.ʃ.t
m.ɛ.ɹ.i	m.ɛ.ɹ.i.d
s.aʊ.n.d	s.aʊ.n.d.ɪ.d
k.ʌ.n.t.eɪ.n	k.ʌ.n.t.eɪ.n.d
p.ʊ.ʃ	p.ʊ.ʃ.t
ʌ.k.ɚ	ʌ.k.ɚ.d
ɪ.s.t.æ.b.l.ɪ.ʃ	ɪ.s.t.æ.b.l.ɪ.ʃ.t
ɪ.m.æ.dʒ.ʌ.n	ɪ.m.æ.dʒ.ʌ.n.d
æ.k.t	æ.k.t.ɪ.d
s.eɪ.v	s.eɪ.v.d
k.ɛ.ɹ	k.ɛ.ɹ.d
s.t.ɛ.ɹ	s.t.ɛ.ɹ.d
l.eɪ	l.eɪ.d
k.ɹ.aɪ	k.ɹ.aɪ.d
k.l.oʊ.s	k.l.oʊ.z.d
s.ʌ.f.ɚ	s.ʌ.f.ɚ.d
s.i.k	s.ɔ.t
ʃ.ɛ.ɹ	ʃ.ɛ.ɹ.d
ɑ.ɹ.g.j.u	ɑ.ɹ.g.j.u.d
