1p.prs	1p.pst	3p.prs	3p.pst
pauperize	pauperized	pauperizes	pauperized
pause	paused	pauses	paused
pave	paved	paves	paved
abandon	abandoned	abandons	abandoned
abase	abased	abases	abased
paw	pawed	paws	pawed
abash	abashed	abashes	abashed
abate	abated	abates	abated
pawn	pawned	pawns	pawned
abbreviate	abbreviated	abbreviates	abbreviated
abdicate	abdicated	abdicates	abdicated
pay	paid	pays	paid
abduct	abducted	abducts	abducted
abet	abetted	abets	abetted
abhor	abhorred	abhors	abhorred
abide	abided	abides	abided
abjure	abjured	abjures	abjured
abnegate	abnegated	abnegates	abnegated
peach	peached	peaches	peached
abolish	abolished	abolishes	abolished
abominate	abominated	abominates	abominated
peak	peaked	peaks	peaked
abort	aborted	aborts	aborted
peal	pealed	peals	pealed
abound	abounded	abounds	abounded
pearl	pearled	pearls	pearled
about-face	about-faced	about-faces	about-faced
abrade	abraded	abrades	abraded
abridge	abridged	abridges	abridged
abrogate	abrogated	abrogates	abrogated
peck	pecked	pecks	pecked
abscond	absconded	absconds	absconded
absent	absented	absents	absented
peculate	peculated	peculates	peculated
pedal	pedalled	pedals	pedalled
absolve	absolved	absolves	absolved
absorb	absorbed	absorbs	absorbed
peddle	peddled	peddles	peddled
abstain	abstained	abstains	abstained
abstract	abstracted	abstracts	abstracted
abstract	abstracted	abstracts	abstracted
pee	peed	pees	peed
peek	peeked	peeks	peeked
abuse	abused	abuses	abused
peel	peeled	peels	peeled
peep	peeped	peeps	peeped
peer	peered	peers	peered
accede	acceded	accedes	acceded
peeve	peeved	peeves	peeved
accelerate	accelerated	accelerates	accelerated
peg	pegged	pegs	pegged
accent	accented	accents	accented
accentuate	accentuated	accentuates	accentuated
accept	accepted	accepts	accepted
acclaim	acclaimed	acclaims	acclaimed
acclimate	acclimated	acclimates	acclimated
acclimatize	acclimatized	acclimatizes	acclimatized
pelt	pelted	pelts	pelted
accommodate	accommodated	accommodates	accommodated
pen	penned	pens	penned
penalize	penalized	penalizes	penalized
accompany	accompanied	accompanies	accompanied
accomplish	accomplished	accomplishes	accomplished
accord	accorded	accords	accorded
pencil	pencilled	pencils	pencilled
accost	accosted	accosts	accosted
account	accounted	accounts	accounted
penetrate	penetrated	penetrates	penetrated
accredit	accredited	accredits	accredited
accrete	accreted	accretes	accreted
accrue	accrued	accrues	accrued
accumulate	accumulated	accumulates	accumulated
accuse	accused	accuses	accused
accustom	accustomed	accustoms	accustomed
ache	ached	aches	ached
achieve	achieved	achieves	achieved
acidify	acidified	acidifies	acidified
acidulate	acidulated	acidulates	acidulated
acknowledge	acknowledged	acknowledges	acknowledged
acquiesce	acquiesced	acquiesces	acquiesced
people	peopled	peoples	peopled
pepper	peppered	peppers	peppered
acquire	acquired	acquires	acquired
acquit	acquitted	acquits	acquitted
perambulate	perambulated	perambulates	perambulated
perceive	perceived	perceives	perceived
act	acted	acts	acted
perch	perched	perches	perched
percolate	percolated	percolates	percolated
activate	activated	activates	activated
peregrinate	peregrinated	peregrinates	peregrinated
actuate	actuated	actuates	actuated
perfect	perfected	perfects	perfected
perforate	perforated	perforates	perforated
perform	performed	performs	performed
adapt	adapted	adapts	adapted
perfume	perfumed	perfumes	perfumed
add	added	adds	added
addict	addicted	addicts	addicted
addle	addled	addles	addled
address	addressed	addresses	addressed
adduce	adduced	adduces	adduced
perish	perished	perishes	perished
adhere	adhered	adheres	adhered
perjure	perjured	perjures	perjured
perk	perked	perks	perked
perm	permed	perms	permed
adjoin	adjoined	adjoins	adjoined
adjourn	adjourned	adjourns	adjourned
adjudge	adjudged	adjudges	adjudged
adjudicate	adjudicated	adjudicates	adjudicated
adjure	adjured	adjures	adjured
adjust	adjusted	adjusts	adjusted
permeate	permeated	permeates	permeated
ad-lib	ad-libbed	ad-libs	ad-libbed
administer	administered	administers	administered
permit	permitted	permits	permitted
permute	permuted	permutes	permuted
perorate	perorated	perorates	perorated
admire	admired	admires	admired
perpetrate	perpetrated	perpetrates	perpetrated
admit	admitted	admits	admitted
admix	admixed	admixes	admixed
perpetuate	perpetuated	perpetuates	perpetuated
admonish	admonished	admonishes	admonished
perplex	perplexed	perplexes	perplexed
persecute	persecuted	persecutes	persecuted
adopt	adopted	adopts	adopted
persevere	persevered	perseveres	persevered
adore	adored	adores	adored
adorn	adorned	adorns	adorned
persist	persisted	persists	persisted
adulate	adulated	adulates	adulated
adulterate	adulterated	adulterates	adulterated
personalize	personalized	personalizes	personalized
adumbrate	adumbrated	adumbrates	adumbrated
personate	personated	personates	personated
