1p.prs	1p.pst	3p.prs	3p.pst
p.ɔ.z	p.ɔ.z.d	p.ɔ.z.ə.z	p.ɔ.z.d
p.eɪ.v	p.eɪ.v.d	p.eɪ.v.z	p.eɪ.v.d
ə.b.æ.n.d.ə.n	ə.b.æ.n.d.ə.n.d	ə.b.æ.n.d.ə.n.z	ə.b.æ.n.d.ə.n.d
p.ɔ	p.ɔ.d	p.ɔ.z	p.ɔ.d
ə.b.eɪ.t	ə.b.eɪ.t.ə.d	ə.b.eɪ.t.s	ə.b.eɪ.t.ə.d
p.ɔ.n	p.ɔ.n.d	p.ɔ.n.z	p.ɔ.n.d
ə.b.ɹ.i.v.i.eɪ.t	ə.b.ɹ.i.v.i.eɪ.t.ə.d	ə.b.ɹ.i.v.i.eɪ.t.s	ə.b.ɹ.i.v.i.eɪ.t.ə.d
æ.b.d.ə.k.eɪ.t	æ.b.d.ə.k.eɪ.t.ə.d	æ.b.d.ə.k.eɪ.t.s	æ.b.d.ə.k.eɪ.t.ə.d
p.eɪ	p.eɪ.d	p.eɪ.z	p.eɪ.d
æ.b.d.ʌ.k.t	æ.b.d.ʌ.k.t.ə.d	æ.b.d.ʌ.k.t.s	æ.b.d.ʌ.k.t.ə.d
ə.b.aɪ.d	ə.b.aɪ.d.ə.d	ə.b.aɪ.d.z	ə.b.aɪ.d.ə.d
ə.b.ɑ.l.ə.ʃ	ə.b.ɑ.l.ə.ʃ.t	ə.b.ɑ.l.ə.ʃ.ə.z	ə.b.ɑ.l.ə.ʃ.t
p.i.k	p.i.k.t	p.i.k.s	p.i.k.t
ə.b.ɔ.ɹ.t	ə.b.ɔ.ɹ.t.ə.d	ə.b.ɔ.ɹ.t.s	ə.b.ɔ.ɹ.t.ə.d
ə.b.aʊ.n.d	ə.b.aʊ.n.d.ə.d	ə.b.aʊ.n.d.z	ə.b.aʊ.n.d.ə.d
ə.b.ɹ.ɪ.dʒ	ə.b.ɹ.ɪ.dʒ.d	ə.b.ɹ.ɪ.dʒ.ə.z	ə.b.ɹ.ɪ.dʒ.d
æ.b.s.k.ɑ.n.d	æ.b.s.k.ɑ.n.d.ə.d	æ.b.s.k.ɑ.n.d.z	æ.b.s.k.ɑ.n.d.ə.d
p.ɛ.d.ə.l	p.ɛ.d.ə.l.d	p.ɛ.d.ə.l.z	p.ɛ.d.ə.l.d
ə.b.z.ɑ.l.v	ə.b.z.ɑ.l.v.d	ə.b.z.ɑ.l.v.z	ə.b.z.ɑ.l.v.d
ə.b.z.ɔ.ɹ.b	ə.b.z.ɔ.ɹ.b.d	ə.b.z.ɔ.ɹ.b.z	ə.b.z.ɔ.ɹ.b.d
p.ɛ.d.ə.l	p.ɛ.d.ə.l.d	p.ɛ.d.ə.l.z	p.ɛ.d.ə.l.d
æ.b.s.t.ɹ.æ.k.t	æ.b.s.t.ɹ.æ.k.t.ə.d	æ.b.s.t.ɹ.æ.k.t.s	æ.b.s.t.ɹ.æ.k.t.ə.d
æ.b.s.t.ɹ.æ.k.t	æ.b.s.t.ɹ.æ.k.t.ə.d	æ.b.s.t.ɹ.æ.k.t.s	æ.b.s.t.ɹ.æ.k.t.ə.d
p.i	p.i.d	p.i.z	p.i.d
p.i.k	p.i.k.t	p.i.k.s	p.i.k.t
p.i.l	p.i.l.d	p.i.l.z	p.i.l.d
p.i.p	p.i.p.t	p.i.p.s	p.i.p.t
p.ɪ.ɹ	p.ɪ.ɹ.d	p.ɪ.ɹ.z	p.ɪ.ɹ.d
æ.k.s.i.d	æ.k.s.i.d.ə.d	æ.k.s.i.d.z	æ.k.s.i.d.ə.d
p.i.v	p.i.v.d	p.i.v.z	p.i.v.d
æ.k.s.ɛ.l.ɚ.eɪ.t	æ.k.s.ɛ.l.ɚ.eɪ.t.ə.d	æ.k.s.ɛ.l.ɚ.eɪ.t.s	æ.k.s.ɛ.l.ɚ.eɪ.t.ə.d
p.ɛ.g	p.ɛ.g.d	p.ɛ.g.z	p.ɛ.g.d
æ.k.s.ɛ.n.tʃ.u.eɪ.t	æ.k.s.ɛ.n.tʃ.u.eɪ.t.ə.d	æ.k.s.ɛ.n.tʃ.u.eɪ.t.s	æ.k.s.ɛ.n.tʃ.u.eɪ.t.ə.d
æ.k.s.ɛ.p.t	æ.k.s.ɛ.p.t.ə.d	æ.k.s.ɛ.p.t.s	æ.k.s.ɛ.p.t.ə.d
ə.k.l.eɪ.m	ə.k.l.eɪ.m.d	ə.k.l.eɪ.m.z	ə.k.l.eɪ.m.d
p.ɛ.l.t	p.ɛ.l.t.ə.d	p.ɛ.l.t.s	p.ɛ.l.t.ə.d
ə.k.ɑ.m.ə.d.eɪ.t	ə.k.ɑ.m.ə.d.eɪ.t.ə.d	ə.k.ɑ.m.ə.d.eɪ.t.s	ə.k.ɑ.m.ə.d.eɪ.t.ə.d
p.ɛ.n	p.ɛ.n.d	p.ɛ.n.z	p.ɛ.n.d
ə.k.ʌ.m.p.ə.n.i	ə.k.ʌ.m.p.ə.n.i.d	ə.k.ʌ.m.p.ə.n.i.z	ə.k.ʌ.m.p.ə.n.i.d
ə.k.ɑ.m.p.l.ə.ʃ	ə.k.ɑ.m.p.l.ə.ʃ.t	ə.k.ɑ.m.p.l.ə.ʃ.ə.z	ə.k.ɑ.m.p.l.ə.ʃ.t
ə.k.ɔ.ɹ.d	ə.k.ɔ.ɹ.d.ə.d	ə.k.ɔ.ɹ.d.z	ə.k.ɔ.ɹ.d.ə.d
ə.k.aʊ.n.t	ə.k.aʊ.n.t.ə.d	ə.k.aʊ.n.t.s	ə.k.aʊ.n.t.ə.d
p.ɛ.n.ə.t.ɹ.eɪ.t	p.ɛ.n.ə.t.ɹ.eɪ.t.ə.d	p.ɛ.n.ə.t.ɹ.eɪ.t.s	p.ɛ.n.ə.t.ɹ.eɪ.t.ə.d
ə.k.ɹ.u	ə.k.ɹ.u.d	ə.k.ɹ.u.z	ə.k.ɹ.u.d
ə.k.j.u.m.j.ə.l.eɪ.t	ə.k.j.u.m.j.ə.l.eɪ.t.ə.d	ə.k.j.u.m.j.ə.l.eɪ.t.s	ə.k.j.u.m.j.ə.l.eɪ.t.ə.d
ə.k.j.u.z	ə.k.j.u.z.d	ə.k.j.u.z.ə.z	ə.k.j.u.z.d
eɪ.k	eɪ.k.t	eɪ.k.s	eɪ.k.t
ə.tʃ.i.v	ə.tʃ.i.v.d	ə.tʃ.i.v.z	ə.tʃ.i.v.d
ə.s.ɪ.d.ə.f.aɪ	ə.s.ɪ.d.ə.f.aɪ.d	ə.s.ɪ.d.ə.f.aɪ.z	ə.s.ɪ.d.ə.f.aɪ.d
æ.k.n.ɑ.l.ə.dʒ	æ.k.n.ɑ.l.ə.dʒ.d	æ.k.n.ɑ.l.ə.dʒ.ə.z	æ.k.n.ɑ.l.ə.dʒ.d
p.i.p.ə.l	p.i.p.ə.l.d	p.i.p.ə.l.z	p.i.p.ə.l.d
p.ɛ.p.ɚ	p.ɛ.p.ɚ.d	p.ɛ.p.ɚ.z	p.ɛ.p.ɚ.d
ə.k.w.aɪ.ɚ	ə.k.w.aɪ.ɚ.d	ə.k.w.aɪ.ɚ.z	ə.k.w.aɪ.ɚ.d
ə.k.w.ɪ.t	ə.k.w.ɪ.t.ə.d	ə.k.w.ɪ.t.s	ə.k.w.ɪ.t.ə.d
p.ɚ.s.i.v	p.ɚ.s.i.v.d	p.ɚ.s.i.v.z	p.ɚ.s.i.v.d
æ.k.t	æ.k.t.ə.d	æ.k.t.s	æ.k.t.ə.d
p.ɚ.tʃ	p.ɚ.tʃ.t	p.ɚ.tʃ.ə.z	p.ɚ.tʃ.t
