1p.prs	1p.pst	3p.prs	3p.pst
p.ɔ.z	p.ɔ.z.d	p.ɔ.z.ʌ.z	p.ɔ.z.d
p.eɪ.v	p.eɪ.v.d	p.eɪ.v.z	p.eɪ.v.d
ʌ.b.æ.n.d.ʌ.n	ʌ.b.æ.n.d.ʌ.n.d	ʌ.b.æ.n.d.ʌ.n.z	ʌ.b.æ.n.d.ʌ.n.d
p.ɔ	p.ɔ.d	p.ɔ.z	p.ɔ.d
ʌ.b.eɪ.t	ʌ.b.eɪ.t.ɪ.d	ʌ.b.eɪ.t.s	ʌ.b.eɪ.t.ɪ.d
p.ɔ.n	p.ɔ.n.d	p.ɔ.n.z	p.ɔ.n.d
ʌ.b.ɹ.i.v.i.eɪ.t	ʌ.b.ɹ.i.v.i.eɪ.t.ɪ.d	ʌ.b.ɹ.i.v.i.eɪ.t.s	ʌ.b.ɹ.i.v.i.eɪ.t.ɪ.d
æ.b.d.ʌ.k.eɪ.t	æ.b.d.ʌ.k.eɪ.t.ʌ.d	æ.b.d.ʌ.k.eɪ.t.s	æ.b.d.ʌ.k.eɪ.t.ʌ.d
p.eɪ	p.eɪ.d	p.eɪ.z	p.eɪ.d
æ.b.d.ʌ.k.t	æ.b.d.ʌ.k.t.ɪ.d	æ.b.d.ʌ.k.t.s	æ.b.d.ʌ.k.t.ɪ.d
æ.b.h.ɔ.ɹ	ʌ.b.h.ɔ.ɹ.d	ʌ.b.h.ɔ.ɹ.z	ʌ.b.h.ɔ.ɹ.d
ʌ.b.aɪ.d	ʌ.b.aɪ.d.ɪ.d	ʌ.b.aɪ.d.z	ʌ.b.aɪ.d.ɪ.d
ʌ.b.ɑ.l.ɪ.ʃ	ʌ.b.ɑ.l.ɪ.ʃ.t	ʌ.b.ɑ.l.ɪ.ʃ.ɪ.z	ʌ.b.ɑ.l.ɪ.ʃ.t
p.i.k	p.i.k.t	p.i.k.s	p.i.k.t
ʌ.b.ɔ.ɹ.t	ʌ.b.ɔ.ɹ.t.ɪ.d	ʌ.b.ɔ.ɹ.t.s	ʌ.b.ɔ.ɹ.t.ɪ.d
ʌ.b.aʊ.n.d	ʌ.b.aʊ.n.d.ɪ.d	ʌ.b.aʊ.n.d.z	ʌ.b.aʊ.n.d.ɪ.d
ʌ.b.ɹ.ɪ.dʒ	ʌ.b.ɹ.ɪ.dʒ.d	ʌ.b.ɹ.ɪ.dʒ.ʌ.z	ʌ.b.ɹ.ɪ.dʒ.d
æ.b.s.k.ɑ.n.d	æ.b.s.k.ɑ.n.d.ʌ.d	æ.b.s.k.ɑ.n.d.z	æ.b.s.k.ɑ.n.d.ʌ.d
p.ɛ.d.ʌ.l	p.ɛ.d.ʌ.l.d	p.ɛ.d.ʌ.l.z	p.ɛ.d.ʌ.l.d
ʌ.b.z.ɑ.l.v	ʌ.b.z.ɑ.l.v.d	ʌ.b.z.ɑ.l.v.z	ʌ.b.z.ɑ.l.v.d
ʌ.b.z.ɔ.ɹ.b	ʌ.b.z.ɔ.ɹ.b.d	ʌ.b.z.ɔ.ɹ.b.z	ʌ.b.z.ɔ.ɹ.b.d
p.ɛ.d.ʌ.l	p.ɛ.d.ʌ.l.d	p.ɛ.d.ʌ.l.z	p.ɛ.d.ʌ.l.d
æ.b.s.t.ɹ.æ.k.t	æ.b.s.t.ɹ.æ.k.t.ɪ.d	æ.b.s.t.ɹ.æ.k.t.s	æ.b.s.t.ɹ.æ.k.t.ɪ.d
æ.b.s.t.ɹ.æ.k.t	æ.b.s.t.ɹ.æ.k.t.ɪ.d	æ.b.s.t.ɹ.æ.k.t.s	æ.b.s.t.ɹ.æ.k.t.ɪ.d
p.i	p.i.d	p.i.z	p.i.d
p.i.k	p.i.k.t	p.i.k.s	p.i.k.t
ʌ.b.j.u.s	ʌ.b.j.u.z.d	ʌ.b.j.u.s.ɪ.z	ʌ.b.j.u.z.d
p.i.l	p.i.l.d	p.i.l.z	p.i.l.d
p.i.p	p.i.p.t	p.i.p.s	p.i.p.t
p.ɪ.ɹ	p.ɪ.ɹ.d	p.ɪ.ɹ.z	p.ɪ.ɹ.d
æ.k.s.i.d	æ.k.s.i.d.ɪ.d	æ.k.s.i.d.z	æ.k.s.i.d.ɪ.d
p.i.v	p.i.v.d	p.i.v.z	p.i.v.d
æ.k.s.ɛ.l.ɚ.eɪ.t	æ.k.s.ɛ.l.ɚ.eɪ.t.ɪ.d	æ.k.s.ɛ.l.ɚ.eɪ.t.s	æ.k.s.ɛ.l.ɚ.eɪ.t.ɪ.d
p.ɛ.g	p.ɛ.g.d	p.ɛ.g.z	p.ɛ.g.d
ʌ.k.s.ɛ.n.t	æ.k.s.ɛ.n.t.ɪ.d	æ.k.s.ɛ.n.t.s	æ.k.s.ɛ.n.t.ɪ.d
æ.k.s.ɛ.n.tʃ.u.eɪ.t	æ.k.s.ɛ.n.tʃ.u.eɪ.t.ɪ.d	æ.k.s.ɛ.n.tʃ.u.eɪ.t.s	æ.k.s.ɛ.n.tʃ.u.eɪ.t.ɪ.d
æ.k.s.ɛ.p.t	æ.k.s.ɛ.p.t.ɪ.d	æ.k.s.ɛ.p.t.s	æ.k.s.ɛ.p.t.ɪ.d
ʌ.k.l.eɪ.m	ʌ.k.l.eɪ.m.d	ʌ.k.l.eɪ.m.z	ʌ.k.l.eɪ.m.d
p.ɛ.l.t	p.ɛ.l.t.ɪ.d	p.ɛ.l.t.s	p.ɛ.l.t.ɪ.d
ʌ.k.ɑ.m.ʌ.d.eɪ.t	ʌ.k.ɑ.m.ʌ.d.eɪ.t.ʌ.d	ʌ.k.ɑ.m.ʌ.d.eɪ.t.s	ʌ.k.ɑ.m.ʌ.d.eɪ.t.ʌ.d
p.ɛ.n	p.ɛ.n.d	p.ɛ.n.z	p.ɛ.n.d
p.ɛ.n.ʌ.l.aɪ.z	p.i.n.ʌ.l.aɪ.z.d	p.ɛ.n.ʌ.l.aɪ.z.ɪ.z	p.i.n.ʌ.l.aɪ.z.d
ʌ.k.ʌ.m.p.ʌ.n.i	ʌ.k.ʌ.m.p.ʌ.n.i.d	ʌ.k.ʌ.m.p.ʌ.n.i.z	ʌ.k.ʌ.m.p.ʌ.n.i.d
ʌ.k.ɑ.m.p.l.ɪ.ʃ	ʌ.k.ɑ.m.p.l.ɪ.ʃ.t	ʌ.k.ɑ.m.p.l.ɪ.ʃ.ɪ.z	ʌ.k.ɑ.m.p.l.ɪ.ʃ.t
ʌ.k.ɔ.ɹ.d	ʌ.k.ɔ.ɹ.d.ɪ.d	ʌ.k.ɔ.ɹ.d.z	ʌ.k.ɔ.ɹ.d.ɪ.d
ʌ.k.aʊ.n.t	ʌ.k.aʊ.n.t.ɪ.d	ʌ.k.aʊ.n.t.s	ʌ.k.aʊ.n.t.ɪ.d
p.ɛ.n.ʌ.t.ɹ.eɪ.t	p.ɛ.n.ʌ.t.ɹ.eɪ.t.ʌ.d	p.ɛ.n.ʌ.t.ɹ.eɪ.t.s	p.ɛ.n.ʌ.t.ɹ.eɪ.t.ʌ.d
ʌ.k.ɹ.u	ʌ.k.ɹ.u.d	ʌ.k.ɹ.u.z	ʌ.k.ɹ.u.d
ʌ.k.j.u.m.j.ʌ.l.eɪ.t	ʌ.k.j.u.m.j.ʌ.l.eɪ.t.ɪ.d	ʌ.k.j.u.m.j.ʌ.l.eɪ.t.s	ʌ.k.j.u.m.j.ʌ.l.eɪ.t.ɪ.d
